dlga_start:member_talk|¿Sí?
dlga_start:close_window.15|Thank you for your help {sir/madam}. Things didn't look very well for us but then you came up and everything changed.
dlga_start:close_window.16|Thank you for your help, {sir/madam}. It was fortunate to have you nearby.
dlga_start:kidnapped_girl_liberated_battle|Oh {sir/madam}. Thank you so much for rescuing me. Will you take me to my family now?
dlga_start:freed_hero_answer|I am in your debt for freeing me friend.
dlga_freed_hero_answer:freed_hero_answer_1|You're not going anywhere. You'll be my prisoner now!
dlga_freed_hero_answer_1:close_window|Alas. Will my luck never change?
dlga_freed_hero_answer:freed_hero_answer_2|You're free to go, {s65}.
dlga_freed_hero_answer_2:close_window|Thank you, good {sire/lady}. I never forget someone who's done me a good turn.
dlga_freed_hero_answer:freed_hero_answer_3|Would you like to join me?
dlga_freed_hero_answer_3:close_window|All right I will join you.
dlga_freed_hero_answer_3:close_window.1|No, I want to go on my own.
dlga_start:defeat_hero_answer|You'll not live long to enjoy your victory. My kinsmen will soon wipe out the stain of this defeat.
dlga_defeat_hero_answer:defeat_hero_answer_1|You are my prisoner now.
dlga_defeat_hero_answer_1:close_window|Damn you. You will regret this.
dlga_defeat_hero_answer:defeat_hero_answer_2|You're free to go this time, but don't cross my path again.
dlga_defeat_hero_answer_2:close_window|We will meet again.
dlga_start:local_merchant_mercy|Mercy! Please don't kill me!
dlga_local_merchant_mercy:local_merchant_mercy_no|I have nothing against you man. But {s2} wants you dead. Sorry.
dlga_local_merchant_mercy_no:close_window|Damn you! May you burn in Hell!
dlga_local_merchant_mercy:local_merchant_mercy_yes|I'll let you live, if you promise me...
dlga_local_merchant_mercy_yes:local_merchant_mercy_yes_2|Of course, I promise, I'll do anything. Just spare my life... 
dlga_local_merchant_mercy_yes_2:local_merchant_mercy_yes_3|You are going to forget about {s2}'s debt to you. And you will sign a paper stating that he owes you nothing.
dlga_local_merchant_mercy_yes_3:local_merchant_mercy_yes_4|Yes, of course. I'll do as you say.
dlga_local_merchant_mercy_yes_4:local_merchant_mercy_yes_5|And if my lord hears so much of a hint of a complaint about this issue, then I'll come back for you, and it won't matter how much you scream for mercy then. Do you understand me?
dlga_local_merchant_mercy_yes_5:local_merchant_mercy_yes_6|Yes {sir/madam}. Don't worry. I won't make any complaint.
dlga_local_merchant_mercy_yes_6:close_window|Good. Go now, before I change my mind.
dlga_start:bounty_1|Why are you looking at me like that. Do I know you?
dlga_bounty_1:bounty_2|I am looking for a CIS officer named {s4}. You fit his description.
dlga_bounty_1:bounty_2.1|I am looking for a farmer named {s4}. You fit his description.
dlga_bounty_1:bounty_2.2|I am looking for someone named {s4}.
dlga_bounty_1:bounty_2.3|I am looking for a pirated named {s4}. You fit his description.
dlga_bounty_1:bounty_2.4|I am looking for a bountyhunter named {s4}. You fit his description.
dlga_bounty_1:bounty_2.5|I am looking for a smuggler named {s4}. You fit his description.
dlga_bounty_1:close_window|Nothing. Sorry to trouble you.
dlga_bounty_2:bounty_3|I might be him. It depends on who you are and why you are asking...
dlga_bounty_3:bounty_4|There is a reward out for you and I'm here to collect it.
dlga_bounty_4:close_window|Don't you know who I am? I'm a CIS officer and you dare threaten me! I'm going to enjoy this...
dlga_bounty_4:close_window.1|It's my land, not his, and I'm not giving it up without a fight!
dlga_bounty_4:close_window.2|heh, you and what army? I'm going to enjoy killing you.
dlga_bounty_4:close_window.3|I may not have my gang anymore, but I can still easily take down somebody like you...
dlga_bounty_4:close_window.4|You, a bountyhunter? Thats funny... Let me show you how its really done!
dlga_bounty_4:close_window.5|Hey, even I get boarded sometimes, I didn't have a choice. You are not taking me without a fight!
dlga_start:fugitive_1|¿Sí, que es lo que quieres?
dlga_fugitive_1:fugitive_2|Estoy buscando a un asesino llamado {s4}. Y tu concuerdas bastante bien con esa descripción.
dlga_fugitive_1:close_window|Nada. Perdón por las molestias.
dlga_fugitive_2:fugitive_3|I do not know what you are talking about {sir/madam}. I assure you, I am just one of the dwellers here.
dlga_fugitive_3:fugitive_4|Then drop your sword. If you are innocent, you have nothing to fear. We'll go now and talk to your neighbours, and if they verify your story, I'll go my way.
dlga_fugitive_4:close_window|Damn you! You will not be going anywhere!
dlga_member_chat:sacrificed_messenger_1|Yes {sir/madam}?
dlga_sacrificed_messenger_1:sacrificed_messenger_2|Take this letter to {s1} and give it to {s2}.
dlga_sacrificed_messenger_1:close_window|Nothing. Nothing at all.
dlga_sacrificed_messenger_2:sacrificed_messenger_3|Yes {sir/madam}. You can trust me. I will not fail you.
dlga_sacrificed_messenger_3:close_window|Good. I will not forget your service. You will be rewarded when you return.
dlga_sacrificed_messenger_3:sacrificed_messenger_cancel|Arggh! I can't do this. I can't send you to your own death!
dlga_sacrificed_messenger_cancel:sacrificed_messenger_cancel_2|What do you mean {sir/madam}
dlga_sacrificed_messenger_cancel_2:sacrificed_messenger_cancel_3|There's a trap set up for you on the planet. {s3} ordered me to sacrifice one of my chosen warriors to fool the enemy, but he will just need to find another way.
dlga_sacrificed_messenger_cancel_3:close_window|Thank you, {sir/madam}. I will follow you to the gates of hell. But this would not be a good death.
dlga_start:close_window.17|Don't worry, {sir/madam}, I'm on my way.
dlga_start:follow_spy_talk|Good day {sir/madam}. Such fine weather don't you think? If you'll excuse me now I must go on my way.
dlga_follow_spy_talk:follow_spy_talk_2|In the name of {s1}, you are under arrest!
dlga_follow_spy_talk_2:close_window|You won't get me alive!
dlga_follow_spy_talk:close_window|Never mind me. I was just passing by.
dlga_start:spy_partners_talk|Saludos.
dlga_spy_partners_talk:spy_partners_talk_2|In the name of {s1} You are under arrest!
dlga_spy_partners_talk_2:close_window|You will have to fight us first!
dlga_spy_partners_talk:close_window|Never mind me. I was just passing by.
dlga_start:runaway_serf_intro_1|Good day {sir/madam}.
dlga_runaway_serf_intro_1:runaway_serf_intro_2|I have been sent by your {s4} whom you are running from. He will not punish you if you return now.
dlga_runaway_serf_intro_2:runaway_serf_intro_3|My good {sir/madam}. Our lives on the planet of {s1} was unbearable. We worked all day long and still went to bed hungry. We are going to {s6} to start a new life, where we will be treated like humans.
dlga_runaway_serf_intro_3:runaway_serf_go_back|You have gone against our laws by running from your bondage. You will go back to {s1} now!
dlga_runaway_serf_intro_3:runaway_serf_let_go|Well, maybe you are right. All right then. If anyone asks, I haven't seen you.
dlga_runaway_serf_go_back:close_window|All right {sir/madam}. As you wish. We'll head back to {s5} now.
dlga_runaway_serf_let_go:close_window|God bless you, {sir/madam}. We will not forget your help.
dlga_start:runaway_serf_reconsider|Good day {sir/madam}. Don't worry. If anyone asks, we haven't seen you.
dlga_runaway_serf_reconsider:runaway_serf_go_back|I have changed my mind. You must back to your village!
dlga_runaway_serf_reconsider:runaway_serf_let_go|Good. Go quickly now before I change my mind.
dlga_start:runaway_serf_talk_caught|Good day {sir/madam}. We were heading back to {s5}, but I am afraid we lost our way.
dlga_runaway_serf_talk_caught:runaway_serf_go_back|Do not test my patience. You are going back now!
dlga_runaway_serf_talk_caught:runaway_serf_let_go|Well, if you are that eager to go, then go.
dlga_start:runaway_serf_talk_again_return|We are on our way back to {s5} {sir/madam}.
dlga_runaway_serf_talk_again_return:runaway_serf_talk_again_return_2|Make haste now. The sooner you return the better.
dlga_runaway_serf_talk_again_return:runaway_serf_talk_again_return_2.1|Good. Keep going.
dlga_runaway_serf_talk_again_return_2:close_window|Yes {sir/madam}. As you wish.
dlga_start:deserter_paid_talk|What do you want? You want to pay us some more money?
dlga_deserter_paid_talk:deserter_paid_talk_2a|Sorry to trouble you. I'll be on my way now.
dlga_deserter_paid_talk_2a:close_window|Yeah. Stop fooling around and go make some money. I want to see that purse full next time I see you.
dlga_deserter_paid_talk:deserter_paid_talk_2b|No. It's your turn to pay me this time.
dlga_deserter_paid_talk_2b:close_window|What nonsense are you talking about? You want trouble? You got it.
dlga_start:deserter_talk|We are the free brothers. We will fight only for ourselves from now on. Ahora dame tu dinero o prepárate para escuchar el sonido de nuestros cañones bláster.
dlga_deserter_talk:close_window|Cuando termine con vosotros, os arrepentireis de haber dejado vuestro ejército.
dlga_deserter_talk:deserter_barter|No hay por qué luchar. No me importará pagar por una tarifa de peaje.
dlga_deserter_barter:deserter_barter_2|Bien. Eres listo. Páganos {reg5} créditos. Entonces podrás irte.
dlga_deserter_barter_2:deserter_barter_3a|Perfecto, aquí tenéis, {reg5} creditos.
dlga_deserter_barter_2:deserter_barter_3b|No tengo mucho dinero conmigo ahora mismo.
dlga_deserter_barter_3b:close_window|Mal asunto. Entonces os venderemos como esclavos.
dlga_deserter_barter_3a:close_window|Eh. ¿A que no fué tan dificil? Genial. Nos vamos.
dlga_start:cantina_drinkers_talk|Estoy borracho, déjame en paz.
dlga_cantina_drinkers_talk:close_window|Perdona si te he molestado, hasta otra.
dlga_start:close_window.18|You should never see this
dlga_start:cantina_walkers_pre_joke|Me guuusta contar chistes cuendo estoy bebido. ¿Quiiieeres oir unno?
dlga_start:cantina_walkers_pre_drink|Oye, ¿Puedes darme un par de créditos para colar algo para el gaznate?
dlga_start:cantina_walkers_pre_brawl|No te gusto.
dlga_start:cantina_walkers_generic_response|{s1}
dlga_cantina_walkers_pre_joke:cantina_walkers_tell_joke|Claro, por qué no.
dlga_cantina_walkers_pre_joke:close_window|No gracias, hasta otra.
dlga_cantina_walkers_tell_joke:cantina_walkers_tell_joke|{s1}
dlga_cantina_walkers_tell_joke:cantina_walkers_tell_joke.1|¡Ese fué genial, cuéntame otro!
dlga_cantina_walkers_tell_joke:close_window|Eso fué horrible, me marcho.
dlga_cantina_walkers_pre_drink:cantina_walkers_buy_drink|Claro.
dlga_cantina_walkers_pre_drink:close_window|Me da que no, adiós.
dlga_cantina_walkers_buy_drink:close_window|Aquí tienes algunos créditos, diviértete!
dlga_cantina_walkers_pre_brawl:cantina_walkers_pre_brawl_2|Perdón.
